LABELS
SEPARATOR TAB
DATA
0_4_0_16_1_8	0.4.0.16.1.8: Node added
0_4_0_16_1_11_6	0.4.0.16.1.11.6: Node removed
0_4_0_16_1_11_15	0.4.0.16.1.11.15: Node added
0_4_0_16_1_11_18	0.4.0.16.1.11.18: Node removed
0_4_0_16_1_11_21	0.4.0.16.1.11.21: Node removed
0_4_0_16_1_11_24	0.4.0.16.1.11.24: Node removed
0_4_0_16_1_14_6	0.4.0.16.1.14.6: Node removed
0_4_0_16_1_14_12	0.4.0.16.1.14.12: Node removed
0_4_0_16_1_14_15	0.4.0.16.1.14.15: Node removed
0_4_0_16_1_14_18	0.4.0.16.1.14.18: Node removed
0_4_0_16_1_17	0.4.0.16.1.17: Node added
0_4_0_16_1_23_0	0.4.0.16.1.23.0: Node added
0_4_0_16_1_23_0_4_0_16_1_23	0.4.0.16.1.23.0_4_0_16_1_23: Node removed
0_4_0_16_1_23_3	0.4.0.16.1.23.3: Node added
0_4_0_16_1_23_6	0.4.0.16.1.23.6: Node added
0_4_0_16_10_2_0	0.4.0.16.10.2.0: Node removed
0_4_0_16_10_2_3	0.4.0.16.10.2.3: Node removed
0_4_0_16_10_2_12	0.4.0.16.10.2.12: Node added
0_4_0_16_10_5_6	0.4.0.16.10.5.6: Node removed
0_4_0_16_10_11_0	0.4.0.16.10.11.0: Node removed
0_4_0_16_10_11_3	0.4.0.16.10.11.3: Node removed
0_4_0_16_10_11_21	0.4.0.16.10.11.21: Node removed
0_4_0_16_10_11_6	0.4.0.16.10.11.6: Node removed
0_4_0_16_10_11_9	0.4.0.16.10.11.9: Node removed
0_4_0_16_10_11_0_4_0_16_10_11	0.4.0.16.10.11.0_4_0_16_10_11: Node added
0_4_0_16_10_11_12	0.4.0.16.10.11.12: Node removed
0_4_0_16_10_11_15	0.4.0.16.10.11.15: Node removed
0_4_0_16_10_14_0	0.4.0.16.10.14.0: Node removed
0_4_0_16_10_14_9	0.4.0.16.10.14.9: Node removed
0_4_0_16_10_14_15	0.4.0.16.10.14.15: Node removed
0_4_0_16_10_14_24	0.4.0.16.10.14.24: Node added
0_4_0_16_10_20_0	0.4.0.16.10.20.0: Node removed
0_4_0_16_10_20_3	0.4.0.16.10.20.3: Node removed
0_4_0_16_10_20_6	0.4.0.16.10.20.6: Node removed
0_4_0_16_10_20_0_4_0_16_10_20	0.4.0.16.10.20.0_4_0_16_10_20: Node added
0_4_0_16_11	0.4.0.16.11: Node added
0_4_0_16_19_2_18	0.4.0.16.19.2.18: Node added
0_4_0_16_19_2_24	0.4.0.16.19.2.24: Node removed
0_4_0_16_19_5_21	0.4.0.16.19.5.21: Node removed
0_4_0_16_20	0.4.0.16.20: Node added
0_4_0_19_2_0_0	0.4.0.19.2.0.0: Node removed
0_4_0_19_2_0_0_4_0_19_2_0	0.4.0.19.2.0.0_4_0_19_2_0: Node added
0_4_0_19_2_0_18	0.4.0.19.2.0.18: Node removed
0_4_0_19_2_0_3	0.4.0.19.2.0.3: Node removed
0_4_0_19_2_0_6	0.4.0.19.2.0.6: Node removed
0_4_0_19_2_0_9	0.4.0.19.2.0.9: Node removed
0_4_0_19_2_0_12	0.4.0.19.2.0.12: Node removed
0_4_0_19_2_0_15	0.4.0.19.2.0.15: Node removed
0_4_0_19_2_3_0	0.4.0.19.2.3.0: Node added
0_4_0_19_2_3_6	0.4.0.19.2.3.6: Node added
0_4_0_19_2_3_9	0.4.0.19.2.3.9: Node added
0_4_0_19_2_3_12	0.4.0.19.2.3.12: Node added
0_4_0_19_2_3_15	0.4.0.19.2.3.15: Node added
0_4_0_19_2_3_21	0.4.0.19.2.3.21: Node added
0_4_0_19_2_3_0_4_0_19_2_3	0.4.0.19.2.3.0_4_0_19_2_3: Node removed
0_4_0_19_2_3_24	0.4.0.19.2.3.24: Node added
0_4_0_19_2_9_0	0.4.0.19.2.9.0: Node added
0_4_0_19_2_9_3	0.4.0.19.2.9.3: Node removed
0_4_0_19_2_9_6	0.4.0.19.2.9.6: Node added
0_4_0_19_2_9_9	0.4.0.19.2.9.9: Node added
0_4_0_19_2_9_12	0.4.0.19.2.9.12: Node removed
0_4_0_19_2_9_15	0.4.0.19.2.9.15: Node removed
0_4_0_19_2_9_19	0.4.0.19.2.9.19: Node removed
0_4_0_19_2_9_21	0.4.0.19.2.9.21: Node removed
0_4_0_19_2_9_22	0.4.0.19.2.9.22: Node removed
0_4_0_19_2_12_0	0.4.0.19.2.12.0: Node added
0_4_0_19_2_12_3	0.4.0.19.2.12.3: Node removed
0_4_0_19_2_12_9	0.4.0.19.2.12.9: Node removed
0_4_0_19_2_12_19	0.4.0.19.2.12.19: Node removed
0_4_0_19_2_12_21	0.4.0.19.2.12.21: Node removed
0_4_0_19_2_12_25	0.4.0.19.2.12.25: Node added
0_4_0_19_2_18	0.4.0.19.2.18: Node added
0_4_0_19_5_0_0_4_0_19_5_0	0.4.0.19.5.0.0_4_0_19_5_0: Node removed
0_4_0_19_5_0_0	0.4.0.19.5.0.0: Node added
0_4_0_19_5_0_3	0.4.0.19.5.0.3: Node added
0_4_0_19_5_0_21	0.4.0.19.5.0.21: Node added
0_4_0_19_5_0_6	0.4.0.19.5.0.6: Node added
0_4_0_19_5_0_9	0.4.0.19.5.0.9: Node added
0_4_0_19_5_0_12	0.4.0.19.5.0.12: Node added
0_4_0_19_5_3_0	0.4.0.19.5.3.0: Node removed
0_4_0_19_5_3_18	0.4.0.19.5.3.18: Node removed
0_4_0_19_5_3_3	0.4.0.19.5.3.3: Node removed
0_4_0_19_5_3_21	0.4.0.19.5.3.21: Node removed
0_4_0_19_5_3_9	0.4.0.19.5.3.9: Node removed
0_4_0_19_5_3_0_4_0_19_5_3	0.4.0.19.5.3.0_4_0_19_5_3: Node added
0_4_0_19_5_3_12	0.4.0.19.5.3.12: Node removed
0_4_0_19_5_3_15	0.4.0.19.5.3.15: Node removed
0_4_0_19_5_6_0	0.4.0.19.5.6.0: Node removed
0_4_0_19_5_6_9	0.4.0.19.5.6.9: Node removed
0_4_0_19_5_6_18	0.4.0.19.5.6.18: Node removed
0_4_0_19_5_6_0_4_0_19_5_6	0.4.0.19.5.6.0_4_0_19_5_6: Node added
0_4_0_19_5_9_9	0.4.0.19.5.9.9: Node removed
0_4_0_19_5_9_15	0.4.0.19.5.9.15: Node added
0_4_0_19_5_9_21	0.4.0.19.5.9.21: Node removed
0_4_0_19_5_12_0_4_0_19_5_12	0.4.0.19.5.12.0_4_0_19_5_12: Node added
0_4_0_19_5_12_19	0.4.0.19.5.12.19: Node removed
0_4_0_19_5_12_21	0.4.0.19.5.12.21: Node removed
0_4_0_19_5_12_6	0.4.0.19.5.12.6: Node removed
0_4_0_19_5_12_9	0.4.0.19.5.12.9: Node removed
0_4_0_19_5_12_12	0.4.0.19.5.12.12: Node removed
0_4_0_19_5_15_0	0.4.0.19.5.15.0: Node removed
0_4_0_19_5_15_9	0.4.0.19.5.15.9: Node removed
0_4_0_19_5_15_0_4_0_19_5_15	0.4.0.19.5.15.0_4_0_19_5_15: Node added
0_4_0_19_5_15_19	0.4.0.19.5.15.19: Node removed
0_4_0_19_5_18	0.4.0.19.5.18: Node removed
0_4_0_19_5_24	0.4.0.19.5.24: Node added
0_4_0_19_7	0.4.0.19.7: Node removed
0_4_0_19_8_18_1	0.4.0.19.8.18.1: Node removed
0_4_0_19_8_18_0_4_0_19_8_18	0.4.0.19.8.18.0_4_0_19_8_18: Node added
0_4_0_19_8_18_4	0.4.0.19.8.18.4: Node removed
0_4_0_19_8_9_6	0.4.0.19.8.9.6: Node removed
0_4_0_19_8_9_15	0.4.0.19.8.9.15: Node removed
0_4_0_19_8_9_18	0.4.0.19.8.9.18: Node removed
0_4_0_19_8_9_21	0.4.0.19.8.9.21: Node removed
0_4_0_22_1	0.4.0.22.1: Node removed
0_4_0_22_2_3_0	0.4.0.22.2.3.0: Node added
0_4_0_22_2_3_3	0.4.0.22.2.3.3: Node added
0_4_0_22_2_3_6	0.4.0.22.2.3.6: Node added
0_4_0_22_2_3_9	0.4.0.22.2.3.9: Node added
0_4_0_22_2_3_12	0.4.0.22.2.3.12: Node added
0_4_0_22_2_3_0_4_0_22_2_3	0.4.0.22.2.3.0_4_0_22_2_3: Node removed
0_4_0_22_2_3_18	0.4.0.22.2.3.18: Node added
0_4_0_22_2_3_21	0.4.0.22.2.3.21: Node added
0_4_0_22_2_6_0	0.4.0.22.2.6.0: Node added
0_4_0_22_2_6_0_4_0_22_2_6	0.4.0.22.2.6.0_4_0_22_2_6: Node removed
0_4_0_22_2_6_18	0.4.0.22.2.6.18: Node added
0_4_0_22_2_6_9	0.4.0.22.2.6.9: Node added
0_4_0_22_2_9_0	0.4.0.22.2.9.0: Node removed
0_4_0_22_2_9_6	0.4.0.22.2.9.6: Node removed
0_4_0_22_2_9_9	0.4.0.22.2.9.9: Node added
